"region","week","S_plus","S_minus","p","N","logitp","day"
"UK",2020-09-07,8430,126,0.985,8556,4.18459144006988,250
"UK",2020-09-14,12844,199,0.985,13043,4.18459144006988,257
"UK",2020-09-21,21264,424,0.98,21688,3.89182029811063,264
"UK",2020-09-28,46773,1086,0.977,47859,3.74899243611363,271
"UK",2020-10-05,52279,1308,0.976,53587,3.70540875606515,278
"UK",2020-10-12,55703,1349,0.976,57052,3.70540875606515,285
"UK",2020-10-19,81007,2059,0.975,83066,3.66356164612965,292
"UK",2020-10-26,81728,2638,0.969,84366,3.44227740740562,299
"UK",2020-11-02,86687,3620,0.96,90307,3.17805383034794,306
"UK",2020-11-09,82073,5278,0.94,87351,2.75153531304195,313
"UK",2020-11-16,62103,5872,0.914,67975,2.36348327520064,320
"UK",2020-11-23,41007,7808,0.84,48815,1.65822807660353,327
"UK",2020-11-30,35490,13947,0.718,49437,0.93456249811011,334
"UK",2020-12-07,37102,32605,0.532,69707,0.128175193423998,341
"UK",2020-12-14,32943,55333,0.373,88276,-0.519368120989105,348
"UK",2020-12-21,29573,71324,0.293,100897,-0.880858056879506,355
"UK",2020-12-28,34822,110940,0.239,145762,-1.15816980593018,362
"UK",2021-01-04,27482,116856,0.19,144338,-1.450010175506,369
"UK",2021-01-11,16212,98085,0.142,114297,-1.7987770418867,376
"UK",2021-01-18,8642,75711,0.102,84353,-2.17519725501793,383
"UK",2021-01-25,4559,59215,0.071,63774,-2.57142886177252,390
"UK",2021-02-01,2234,43321,0.049,45555,-2.96569376443476,397
"UK",2021-02-08,1014,31218,0.031,32232,-3.44227740740562,404
"UK",2021-02-15,623,28965,0.021,29588,-3.84200920480709,411
"UK",2021-02-22,294,21264,0.014,21558,-4.25459902498738,418
"UK",2021-03-01,225,15513,0.014,15738,-4.25459902498738,425
"UK",2021-03-08,203,18339,0.011,18542,-4.49879905882434,432
"UK",2021-03-15,173,18030,0.01,18203,-4.59511985013459,439
"UK",2021-03-22,144,15916,0.009,16060,-4.70148995699377,446
"UK",2021-03-29,155,10894,0.014,11049,-4.25459902498738,453
"UK",2021-04-05,208,7529,0.027,7737,-3.58454721618168,460
"UK",2021-04-12,279,5754,0.046,6033,-3.03202227495919,467
"UK",2021-04-19,408,4817,0.078,5225,-2.469836396867,474
"UK",2021-04-26,692,3839,0.153,4531,-1.71126277325962,481
"UK",2021-05-03,1651,4388,0.273,6039,-0.979454682348559,488
"UK",2021-05-10,2922,3880,0.43,6802,-0.281851152140988,495
"UK",2021-05-17,5103,3083,0.623,8186,0.502301331339442,502
"UK",2021-05-24,9575,2464,0.795,12039,1.35533213551592,509
"UK",2021-05-31,17750,1778,0.909,19528,2.30148558766063,516
"UK",2021-06-07,27009,1258,0.955,28267,3.05504885071041,523
"UK",2021-06-14,33101,605,0.982,33706,3.9992195504583,530
"UK",2021-06-21,443,12,0.974,455,3.62331476562106,537
